anchor,neighbor,cosine,period
슈카,근무,0.7699535489082336,2025
슈카,유튜버,0.7613853812217712,2025
슈카,생물유튜버,0.7575035095214844,2025
슈카,개인리딩,0.747524082660675,2025
슈카,취향,0.7361025214195251,2025
알상무,신탁,0.8225244283676147,2025
알상무,코스피인버스,0.8147368431091309,2025
알상무,일루미나티,0.8045068979263306,2025
알상무,한전기술,0.8021574020385742,2025
알상무,숏돌이,0.8007873296737671,2025
니니,매매법,0.7977340817451477,2025
니니,누나,0.7847282886505127,2025
니니,반도체누나,0.7717373371124268,2025
니니,탑승,0.7646076679229736,2025
니니,차트공부,0.761684238910675,2025
