scope,member,rank,term,count_target,count_reference,delta,z
overall,슈카,1,배송,24,0,0.9250,3.7001
overall,슈카,2,출판사,12,0,0.9246,2.6151
overall,슈카,3,항상,19,6,0.5818,2.4810
overall,슈카,4,판매,13,2,0.7304,2.3756
overall,슈카,5,사람,17,6,0.5531,2.2678
overall,슈카,6,가져감,8,0,0.9244,2.1348
overall,슈카,7,watch,20,11,0.4257,2.0429
overall,슈카,8,달러,17,8,0.4726,2.0317
overall,슈카,9,현차,10,2,0.6833,1.9986
overall,슈카,10,유튜브,7,0,0.9244,1.9969
overall,슈카,11,수수료,11,3,0.6170,1.9627
overall,슈카,12,마진,6,0,0.9243,1.8487
overall,슈카,13,주요,6,0,0.9243,1.8487
overall,슈카,14,대형,6,0,0.9243,1.8487
overall,슈카,15,다음과,6,0,0.9243,1.8487
overall,알상무,1,오라클,68,4,0.7133,5.0062
overall,알상무,2,인스타,76,11,0.6112,4.7819
overall,알상무,3,참고만,46,0,0.7949,4.4019
overall,알상무,4,포폴,43,6,0.6160,3.6139
overall,알상무,5,주식운세,23,0,0.7941,3.1097
overall,알상무,6,차익실현,34,6,0.5766,3.0712
overall,알상무,7,instagram,18,0,0.7940,2.7504
overall,알상무,8,igsh,17,0,0.7940,2.6728
overall,알상무,9,종가에,14,0,0.7939,2.4253
overall,알상무,10,마이크론,18,2,0.6473,2.4163
overall,알상무,11,이야기,18,2,0.6473,2.4163
overall,알상무,12,비난하,13,0,0.7938,2.3370
overall,알상무,13,다시,30,11,0.4124,2.2594
overall,알상무,14,빠져있으면,12,0,0.7938,2.2452
overall,알상무,15,음모론,12,0,0.7938,2.2452
overall,니니,1,한미반도체,68,13,0.8032,6.0981
overall,니니,2,반도체,50,28,0.5302,4.0370
overall,니니,3,매매법,18,1,0.9557,3.4437
overall,니니,4,누나,20,4,0.7926,3.2786
overall,니니,5,연필,15,0,1.0336,3.2685
overall,니니,6,최고점,19,4,0.7824,3.1718
overall,니니,7,삼성전자,37,28,0.4334,3.0227
overall,니니,8,두에빌,20,7,0.6643,2.9508
overall,니니,9,수익중,23,12,0.5509,2.8071
overall,니니,10,해줬자나,11,0,1.0334,2.7985
overall,니니,11,부디,10,0,1.0334,2.6682
overall,니니,12,눈나,11,2,0.8102,2.4617
overall,니니,13,갱신,11,2,0.8102,2.4617
overall,니니,14,NAVER,12,3,0.7457,2.4507
overall,니니,15,상승,26,22,0.3962,2.3762
