scope,member,rank,term,count_post,count_pre,z
prepost,슈카,1,삼전,0,1,0.4068
prepost,슈카,2,채권,0,1,0.3291
prepost,슈카,3,수익률,0,1,0.2854
prepost,슈카,4,매수,0,1,0.1835
prepost,슈카,5,지수,0,1,0.1219
prepost,슈카,6,국채,0,1,0.1219
prepost,슈카,7,조금씩,0,1,0.0490
prepost,슈카,8,금요일,0,1,0.0490
prepost,슈카,9,수많,0,1,0.0490
prepost,슈카,10,하이닉스,0,1,0.0490
prepost,슈카,11,수익,0,1,0.0490
prepost,슈카,12,개인,0,1,0.0490
prepost,알상무,1,밝힙니다,3,0,1.4653
prepost,알상무,2,존재하는,3,0,1.4653
prepost,알상무,3,그것,3,0,1.4653
prepost,알상무,4,미리,2,0,1.1956
prepost,알상무,5,긁기,2,0,1.1956
prepost,알상무,6,위함,2,0,1.1956
prepost,알상무,7,진행됩니다,2,0,1.1956
prepost,알상무,8,모르겠네요,2,0,1.1956
prepost,알상무,9,먼저,2,0,1.1956
prepost,알상무,10,팔로워들,2,0,1.1956
prepost,알상무,11,아님,2,0,1.1956
prepost,알상무,12,앞두고,2,0,1.1956
prepost,니니,1,하고,0,1,0.1645
prepost,니니,2,마이크론,0,1,0.1298
prepost,니니,3,수익률,0,1,0.1298
prepost,니니,4,삼성전자,0,1,0.0477
prepost,니니,5,떨어지면,0,1,-0.0029
prepost,니니,6,어제,0,2,-0.0449
prepost,니니,7,요약,0,1,-0.0636
prepost,니니,8,게스트,0,1,-0.0636
prepost,니니,9,월요일,0,1,-0.0636
prepost,니니,10,상승,0,1,-0.0636
prepost,니니,11,샀다고,0,1,-0.0636
prepost,니니,12,비중,0,1,-0.1405
