label,kind,selection_group,x,y
슈카,member,anchor,0.6812605638835821,-0.6026508161807018
알상무,member,anchor,1.4075565174125957,-0.45168074962431565
니니,member,anchor,1.0200989735131694,-0.1081344454619709
인스타,token,neighbor,1.605083792831357,0.12045714037982148
연금저축펀드,token,neighbor,0.9012428509691315,0.02957288183229528
시초가,token,neighbor,0.8486497534072677,-0.3709749162743157
변종,token,neighbor,0.27574271366998304,-0.16618045996965847
풀매수,token,neighbor,0.4546944910292952,-0.1808846678306678
인증,token,community,1.0191173520351193,0.03624522034253885
니니누나,token,community,0.7226867369386012,-0.37380961165701015
반도체,token,market,0.9453607043461214,0.9869776707877925
삼성전자,token,market,0.9109378714654889,1.0341661187700049
삼전,token,market,1.5892582323398692,-1.3788229675995687
상승,token,market,1.0781774528700174,-1.2786834784715262
주가,token,market,0.8052331532549184,0.6453120879522614
환율,token,macro,-0.9135612225066463,-1.514975429110828
코스피,token,macro,1.0125434210647506,-0.30119173118707077
분석,token,narrative,-0.29663467687345886,0.7204554227053109
요약,token,narrative,-0.7436608763786809,1.5340137475302216
질문,token,narrative,-1.6969377397829704,-0.07043638452291014
