period,member,rank,neighbor,cosine
2025,슈카,1,근무,0.7700
2025,슈카,2,유튜버,0.7614
2025,슈카,3,생물유튜버,0.7575
2025,슈카,4,개인리딩,0.7475
2025,슈카,5,취향,0.7361
2025,알상무,1,신탁,0.8225
2025,알상무,2,코스피인버스,0.8147
2025,알상무,3,일루미나티,0.8045
2025,알상무,4,한전기술,0.8022
2025,알상무,5,숏돌이,0.8008
2025,니니,1,매매법,0.7977
2025,니니,2,누나,0.7847
2025,니니,3,반도체누나,0.7717
2025,니니,4,탑승,0.7646
2025,니니,5,차트공부,0.7617
2026,슈카,1,용서,0.8545
2026,슈카,2,꺼드럭,0.8249
2026,슈카,3,채널,0.8218
2026,슈카,4,피자,0.8163
2026,슈카,5,공유,0.8021
2026,알상무,1,인스타,0.7611
2026,알상무,2,연금저축펀드,0.7555
2026,알상무,3,그날,0.7547
2026,알상무,4,시초가,0.7428
2026,알상무,5,넷플릭스,0.7390
2026,니니,1,변종,0.8165
2026,니니,2,풀매수,0.8123
2026,니니,3,인증,0.8096
2026,니니,4,사라,0.8050
2026,니니,5,니니누나,0.8008
이벤트주간,슈카,1,리서치,0.8658
이벤트주간,슈카,2,지배,0.7633
이벤트주간,슈카,3,조언,0.7462
이벤트주간,슈카,4,믿음,0.7323
이벤트주간,슈카,5,도움,0.7315
이벤트주간,알상무,1,알멘,0.9545
이벤트주간,알상무,2,대우건설,0.9419
이벤트주간,알상무,3,노래,0.9211
이벤트주간,알상무,4,손절,0.9045
이벤트주간,알상무,5,삼전,0.8812
이벤트주간,니니,1,구조대,0.9070
이벤트주간,니니,2,삼성전자,0.8900
이벤트주간,니니,3,매수,0.8881
이벤트주간,니니,4,위폴,0.8780
이벤트주간,니니,5,대우건설,0.8700
